Escenario 1: Palabras codigo de 9 digitos

	Simbolo		Informacion
	100111101		9.451211
	100111110		9.451211
	100111111		8.965784
	101000000		8.313707
	101000001		7.866249
	101000010		9.773139
	101000011		10.773139
	101000100		9.773139
	101000101		8.965784
	101000110		9.188177
	101000111		9.451211
	101001000		8.773139
	101001001		8.965784
	101001010		9.451211
	101001011		9.451211
	101001100		8.313707
	101001101		8.313707
	101001110		8.965784
	101001111		8.188177
	101010000		9.188177
	101010001		10.188177
	101010010		9.451211
	101010011		9.451211
	101010100		8.072700
	101010101		8.965784
	101010110		11.773139
	101010111		9.451211
	101011000		9.773139
	101011001		9.188177
	101011010		9.188177
	101011011		8.313707
	101011100		8.773139
	101011101		8.603214
	101011110		8.965784
	101011111		9.188177
	101100000		8.773139
	101100001		8.965784
	101100010		8.451211
	101100011		8.965784
	101100100		9.451211
	101100101		9.188177
	101100110		8.965784
	101100111		10.188177
	101101000		8.313707
	101101001		9.451211
	101101010		9.188177
	101101011		8.965784
	101101100		9.773139
	101101101		8.965784
	101101110		8.773139
	101101111		8.773139
	101110000		8.965784
	101110001		8.965784
	101110010		8.603214
	101110011		8.965784
	101110100		10.188177
	101110101		8.313707
	101110110		8.313707
	101110111		9.451211
	101111000		7.866249
	101111001		8.188177
	101111010		9.188177
	101111011		8.773139
	101111100		8.603214
	101111101		8.773139
	101111110		8.965784
	101111111		8.773139
	110000000		8.603214
	110000001		8.188177
	110000010		8.603214
	110000011		8.451211
	110000100		9.188177
	110000101		9.773139
	110000110		8.965784
	110000111		8.188177
	110001000		8.188177
	110001001		8.313707
	110001010		9.451211
	110001011		9.451211
	110001100		8.451211
	110001101		10.188177
	110001110		9.773139
	110001111		9.773139
	110010000		8.188177
	110010001		9.188177
	110010010		8.965784
	110010011		8.603214
	110010100		8.773139
	110010101		8.773139
	110010110		9.773139
	110010111		8.773139
	110011000		8.773139
	110011001		9.773139
	110011010		9.188177
	110011011		9.188177
	110011100		9.773139
	110011101		9.451211
	110011110		9.773139
	110011111		8.965784
	110100000		8.965784
	110100001		8.773139
	110100010		8.451211
	110100011		9.451211
	110100100		7.965784
	110100101		9.188177
	110100110		9.188177
	110100111		9.188177
	110101000		9.188177
	110101001		10.773139
	110101010		8.313707
	110101011		8.451211
	110101100		7.965784
	110101101		9.451211
	110101110		7.866249
	110101111		8.603214
	110110000		9.188177
	110110001		9.188177
	110110010		8.188177
	110110011		8.773139
	110110100		9.451211
	110110101		8.965784
	110110110		8.965784
	110110111		9.773139
	110111000		10.773139
	110111001		9.773139
	110111010		9.451211
	110111011		9.188177
	110111100		8.965784
	110111101		9.451211
	110111110		8.313707
	110111111		8.965784
	111000000		8.603214
	111000001		9.451211
	111000010		9.451211
	111000011		9.451211
	111000100		8.965784
	111000101		8.603214
	111000110		8.451211
	111000111		9.451211
	111001000		9.451211
	111001001		9.451211
	111001010		8.965784
	111001011		8.451211
	111001100		10.188177
	111001101		8.965784
	111001110		8.965784
	111001111		8.965784
	111010000		8.313707
	111010001		9.188177
	111010010		9.188177
	111010011		9.773139
	111010100		9.188177
	111010101		9.188177
	111010110		9.773139
	111010111		9.188177
	111011000		8.451211
	111011001		8.965784
	111011010		8.603214
	111011011		8.313707
	111011100		9.773139
	111011101		9.451211
	111011110		10.188177
	111011111		8.451211
	111100000		8.603214
	111100001		8.451211
	111100010		9.451211
	111100011		9.773139
	111100100		8.773139
	111100101		9.188177
	111100110		9.188177
	111100111		8.773139
	111101000		9.451211
	111101001		9.188177
	111101010		8.603214
	111101011		8.451211
	111101100		8.965784
	111101101		9.773139
	111101110		9.188177
	111101111		9.188177
	111110000		8.072700
	111110001		8.313707
	111110010		10.188177
	111110011		8.451211
	111110100		9.188177
	111110101		10.773139
	111110110		8.603214
	111110111		8.313707
	111111000		9.188177
	111111001		9.773139
	111111010		8.773139
	111111011		8.773139
	111111100		10.188177
	111111101		9.773139
	111111110		9.773139
	111111111		8.965784

Entropia=8.884226
